date_fetched,season,entity,stat_group,timeframe,split_code,split_description,split_menu,airOuts,atBats,atBatsPerHomeRun,avg,babip,baseOnBalls,catchersInterference,caughtStealing,caughtStealingPercentage,doubles,gamesPlayed,groundIntoDoublePlay,groundOuts,groundOutsToAirouts,hitByPitch,hits,homeRuns,intentionalWalks,leagueAbbrev,leagueName,leagueShortName,leftOnBase,numberOfPitches,obp,ops,plateAppearances,rank,rbi,runs,sacBunts,sacFlies,shortName,slg,stolenBasePercentage,stolenBases,strikeOuts,teamAbbrev,teamId,teamName,teamShortName,totalBases,triples,type,year
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1039,3949,32.11,.236,.296,374,2,18,.240,175,118,87,895,0.86,66,930,123,11,AL,American League,American,798,17224,.311,.690,4428,27,465,484,14,23,LA Angels,.379,.760,57,1122,LAA,108,Los Angeles Angels,Angels,1496,11,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1096,3926,28.66,.229,.272,387,1,30,.263,142,119,76,954,0.87,73,899,137,9,AL,American League,American,812,17256,.308,.683,4424,28,446,462,9,28,Seattle,.375,.737,84,1014,SEA,136,Seattle Mariners,Mariners,1472,10,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1156,3945,34.60,.232,.280,433,2,22,.159,174,119,64,935,0.81,41,917,114,11,AL,American League,American,845,17751,.313,.682,4474,29,454,473,23,30,Cleveland,.369,.841,116,990,CLE,114,Cleveland Guardians,Guardians,1455,11,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1186,4041,35.14,.242,.279,327,3,14,.194,186,120,84,1053,0.89,44,976,115,11,AL,American League,American,805,17013,.303,.679,4466,30,450,471,16,35,Toronto,.376,.806,58,877,TOR,141,Toronto Blue Jays,Blue Jays,1521,7,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,61,251,17.93,.291,.345,26,,1,.125,12,7,4,52,0.85,3,73,14,0,NL,National League,National,49,1143,.362,.892,283,1,48,49,1,2,NY Mets,.530,.875,7,68,NYM,121,New York Mets,Mets,133,3,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,76,241,34.43,.307,.349,30,,3,.250,20,7,4,50,0.66,4,74,7,2,AL,American League,American,54,1079,.382,.859,284,2,48,50,1,8,Boston,.477,.750,9,50,BOS,111,Boston Red Sox,Red Sox,115,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,64,221,24.56,.285,.331,17,,0,.000,13,6,1,45,0.70,2,63,9,2,NL,National League,National,49,925,.340,.806,241,3,33,34,0,1,Chi Cubs,.466,1.000,7,50,CHC,112,Chicago Cubs,Cubs,103,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,65,205,29.29,.268,.298,20,,2,.286,10,6,5,48,0.74,3,55,7,0,NL,National League,National,42,890,.341,.770,229,4,28,31,0,1,San Diego,.429,.714,5,38,SD,135,San Diego Padres,Padres,88,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,56,219,36.50,.274,.331,25,,1,.500,8,6,5,53,0.95,5,60,6,0,AL,American League,American,51,949,.361,.763,249,5,31,34,0,0,Detroit,.402,.500,1,50,DET,116,Detroit Tigers,Tigers,88,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,40,189,23.62,.249,.322,24,,3,.333,8,6,3,44,1.10,2,47,8,3,NL,National League,National,42,887,.336,.754,219,6,26,27,2,2,Milwaukee,.418,.667,6,62,MIL,158,Milwaukee Brewers,Brewers,79,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,51,178,29.67,.270,.311,11,,0,.000,10,5,7,43,0.84,1,48,6,1,NL,National League,National,32,701,.314,.752,192,7,20,21,1,1,Colorado,.438,1.000,6,38,COL,115,Colorado Rockies,Rockies,78,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,50,205,41.00,.259,.331,21,,2,.333,11,6,2,48,0.96,4,53,5,1,NL,National League,National,42,913,.338,.743,232,8,33,33,1,1,Washington,.405,.667,4,56,WSH,120,Washington Nationals,Nationals,83,2,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,80,235,47.00,.255,.285,37,,1,.111,14,7,7,60,0.75,2,60,5,4,NL,National League,National,61,1103,.355,.742,282,9,32,35,2,5,Philadelphia,.387,.889,8,42,PHI,143,Philadelphia Phillies,Phillies,91,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,58,232,25.78,.254,.316,14,,1,.333,14,7,2,50,0.86,2,59,9,0,NL,National League,National,42,935,.301,.741,249,10,29,32,0,1,Atlanta,.440,.667,2,66,ATL,144,Atlanta Braves,Braves,102,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,66,201,33.50,.244,.283,22,,0,.000,9,6,3,44,0.67,1,49,6,2,NL,National League,National,47,903,.319,.737,227,11,23,24,1,2,Arizona,.418,1.000,3,45,AZ,109,Arizona Diamondbacks,D-backs,84,4,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,48,176,35.20,.250,.287,18,,1,.100,6,5,3,54,1.13,2,44,5,2,AL,American League,American,40,766,.327,.719,201,12,21,22,5,0,Tampa Bay,.392,.900,9,35,TB,139,Tampa Bay Rays,Rays,69,2,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,53,206,103.00,.267,.340,23,,2,1.000,11,6,4,50,0.94,1,55,2,0,NL,National League,National,46,864,.343,.712,230,13,26,28,0,0,Miami,.369,.000,0,48,MIA,146,Miami Marlins,Marlins,76,2,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,66,210,21.00,.205,.237,25,,3,.500,8,7,5,40,0.61,3,43,10,1,AL,American League,American,39,986,.298,.703,238,14,21,22,0,0,Baltimore,.405,.500,3,61,BAL,110,Baltimore Orioles,Orioles,85,2,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,64,214,42.80,.252,.312,28,,1,.250,5,6,2,45,0.70,5,54,5,0,AL,American League,American,59,963,.349,.695,250,15,26,27,1,2,Cleveland,.346,.750,3,54,CLE,114,Cleveland Guardians,Guardians,74,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,49,156,39.00,.237,.287,16,,1,.500,6,5,3,35,0.71,2,37,4,2,AL,American League,American,28,668,.316,.694,176,16,22,23,2,0,Texas,.378,.500,1,37,TEX,140,Texas Rangers,Rangers,59,2,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,49,182,60.67,.247,.292,22,,0,.000,12,6,4,54,1.10,2,45,3,1,NL,National League,National,44,860,.329,.692,211,17,21,21,1,4,St. Louis,.363,1.000,4,39,STL,138,St. Louis Cardinals,Cardinals,66,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,62,186,37.20,.242,.255,16,,2,.400,11,6,5,57,0.92,0,45,5,0,AL,American League,American,28,786,.299,.691,206,18,25,25,2,2,Kansas City,.392,.600,3,26,KC,118,Kansas City Royals,Royals,73,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,45,203,33.83,.217,.284,29,,1,.200,9,6,3,51,1.13,8,44,6,1,AL,American League,American,52,944,.335,.685,242,19,24,26,0,2,Chi White Sox,.350,.800,4,65,CWS,145,Chicago White Sox,White Sox,71,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,47,165,27.50,.224,.244,18,,1,.500,7,5,5,49,1.04,1,37,6,0,AL,American League,American,29,715,.304,.680,184,20,20,21,0,0,Houston,.376,.500,1,32,HOU,117,Houston Astros,Astros,62,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,51,188,31.33,.223,.290,22,,1,.333,8,6,6,37,0.73,4,42,6,0,NL,National League,National,36,798,.316,.678,215,21,19,20,0,1,Pittsburgh,.362,.667,2,59,PIT,134,Pittsburgh Pirates,Pirates,68,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,72,226,32.29,.221,.253,26,,1,.167,9,7,4,55,0.76,7,50,7,0,AL,American League,American,52,1023,.318,.672,261,22,23,25,0,2,Minnesota,.354,.833,5,51,MIN,142,Minnesota Twins,Twins,80,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,36,155,31.00,.181,.232,25,,0,.000,8,5,5,40,1.11,3,28,5,1,AL,American League,American,40,772,.304,.646,184,23,11,12,0,1,NY Yankees,.342,1.000,3,52,NYY,147,New York Yankees,Yankees,53,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,71,254,36.29,.224,.270,23,,2,.222,10,7,7,66,0.93,2,57,7,1,AL,American League,American,56,1094,.291,.645,284,24,26,29,2,3,Toronto,.354,.778,7,65,TOR,141,Toronto Blue Jays,Blue Jays,90,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,51,179,19.89,.196,.222,17,,1,.200,5,6,4,40,0.78,2,35,9,0,NL,National League,National,28,805,.269,.643,201,25,18,20,0,3,Cincinnati,.374,.800,4,56,CIN,113,Cincinnati Reds,Reds,67,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,48,167,27.83,.222,.252,12,,1,.500,1,5,5,44,0.92,1,37,6,0,NL,National League,National,29,712,.278,.625,180,26,14,14,0,0,LA Dodgers,.347,.500,1,38,LAD,119,Los Angeles Dodgers,Dodgers,58,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,54,199,39.80,.206,.269,17,,0,.000,8,6,4,45,0.83,0,41,5,0,AL,American League,American,42,870,.267,.589,218,27,12,14,1,1,LA Angels,.322,1.000,1,61,LAA,108,Los Angeles Angels,Angels,64,0,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,48,199,39.80,.201,.254,12,,0,.000,9,6,3,55,1.15,1,40,5,0,AL,American League,American,27,810,.250,.582,212,28,21,23,0,0,Athletics,.332,1.000,7,56,ATH,133,Athletics,Athletics,66,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,57,185,37.00,.195,.228,13,,1,.333,2,6,11,48,0.84,3,36,5,1,AL,American League,American,34,733,.259,.556,201,29,8,8,0,0,Seattle,.297,.667,2,44,SEA,136,Seattle Mariners,Mariners,55,1,team,
2026-08-10T21:33:44-04:00,2026,team,hitting,last_7,,,,48,160,53.33,.169,.218,14,,0,.000,4,5,2,39,0.81,0,27,3,0,NL,National League,National,31,684,.236,.499,175,30,10,10,1,0,San Francisco,.263,1.000,2,47,SF,137,San Francisco Giants,Giants,42,1,team,
